Date,market_ret,breadth,market_anomaly_flag
2018-01-02,0.017409608098131024,1.0,1
2018-01-03,0.020767174740783184,0.75,1
2018-01-04,0.005798471555239049,1.0,0
2018-01-05,0.01210501277574555,1.0,0
2018-01-08,0.010592906422957404,0.75,0
2018-01-09,0.0009027990458385371,0.25,1
2018-01-10,0.0010943637477672796,0.5,0
2018-01-11,0.007061879435057816,1.0,0
2018-01-12,0.011253375224740653,0.75,0
2018-01-16,-0.00804114650414739,0.0,1
2018-01-17,0.012541051847297369,0.75,0
2018-01-18,-0.0005233884171582381,0.25,1
2018-01-19,0.005166058924599454,0.5,0
2018-01-22,0.012637041624107087,0.75,0
2018-01-23,0.01306782212139218,1.0,0
2018-01-24,-0.008377124491448062,0.0,1
2018-01-25,0.001273233443702615,0.75,0
2018-01-26,0.017024266433859958,1.0,0
2018-01-29,0.0008567448537570299,0.5,0
2018-01-30,-0.005245703035368504,0.25,1
2018-01-31,0.012252970479858016,1.0,0
2018-02-01,-0.01733328500720327,0.25,1
2018-02-02,-0.01749552775174326,0.25,1
2018-02-05,-0.04474571892838333,0.0,1
2018-02-06,0.04330965350746624,1.0,1
2018-02-07,-0.011006794091237698,0.25,1
2018-02-08,-0.04373315662277641,0.0,1
2018-02-09,0.02709656120017273,0.75,0
2018-02-12,0.017102518610096595,0.75,0
2018-02-13,0.014611302792434666,1.0,0
2018-02-14,0.024428304740197415,1.0,0
2018-02-15,0.020593404049173702,1.0,0
2018-02-16,-0.0075230922792462185,0.0,1
2018-02-20,0.009880708078704586,0.75,0
2018-02-21,-0.009568492254914795,0.25,1
2018-02-22,0.003971865714544387,1.0,0
2018-02-23,0.01706798884593408,1.0,0
2018-02-26,0.012876758413455147,1.0,0
2018-02-27,-0.006171379442022562,0.0,1
2018-02-28,-0.005566919486934635,0.25,1
2018-03-01,-0.020086139486372695,0.0,1
2018-03-02,0.008067134130037568,1.0,0
2018-03-05,0.0054026951596443384,0.75,0
2018-03-06,0.008142058175213435,0.5,0
2018-03-07,-7.771971988174142e-06,0.5,0
2018-03-08,0.004674057941887605,0.75,0
2018-03-09,0.018537582005818842,1.0,0
2018-03-12,0.010614460429846206,1.0,0
2018-03-13,-0.012153279677555445,0.0,1
2018-03-14,-0.002124902595267042,0.5,0
2018-03-15,0.00041239264193349,0.75,0
2018-03-16,-0.0003047359780542769,0.5,0
2018-03-19,-0.022055659890513363,0.0,1
2018-03-20,0.01618922651877508,0.75,0
2018-03-21,-0.009162972611547943,0.0,1
2018-03-22,-0.023391225366642204,0.0,1
2018-03-23,-0.03022279751373258,0.0,1
2018-03-26,0.05322552503733724,1.0,1
2018-03-27,-0.046737802995273026,0.0,1
2018-03-28,-0.018568317954496483,0.0,1
2018-03-29,0.021555841628975725,1.0,0
2018-04-02,-0.033564763468646536,0.0,1
2018-04-03,0.0144440921060347,1.0,0
2018-04-04,0.016395264203105664,1.0,0
2018-04-05,0.003796980332796379,0.75,0
2018-04-06,-0.028275777125799206,0.0,1
2018-04-09,0.005480436111780507,1.0,0
2018-04-10,0.03038197709130258,1.0,0
2018-04-11,-0.00734235702529229,0.0,1
2018-04-12,0.02014139062001874,1.0,0
2018-04-13,-0.006848895322102505,0.25,1
2018-04-16,0.006347739596416019,0.75,0
2018-04-17,0.02582868761841467,1.0,0
2018-04-18,0.003161967243691305,0.5,0
2018-04-19,-0.01093647583748536,0.25,1
2018-04-20,-0.018214688942096963,0.0,1
2018-04-23,-0.006658709683287134,0.25,1
2018-04-24,-0.021834424821221943,0.0,1
2018-04-25,-0.006202665752836595,0.5,0
2018-04-26,0.025923480060161097,1.0,0
2018-04-27,0.011479440266226604,0.75,0
2018-04-30,-0.004084068800346868,0.25,1
2018-05-01,0.014830216454956247,1.0,0
2018-05-02,0.0042215788827194844,0.25,1
2018-05-03,0.009711708352608428,1.0,0
2018-05-04,0.020628826257341637,1.0,0
2018-05-07,0.017688330025712684,1.0,0
2018-05-08,0.0006546744715246189,0.5,0
2018-05-09,0.01253092906172465,1.0,0
2018-05-10,0.010497149776393322,1.0,0
2018-05-11,-0.007827529073665546,0.0,1
2018-05-14,0.0008627114043309458,0.5,0
2018-05-15,-0.01764511693293508,0.0,1
2018-05-16,0.0052064328891702205,1.0,0
2018-05-17,-0.003218869406008351,0.25,1
2018-05-18,-0.0033956740537569585,0.25,1
2018-05-21,0.005021350788804335,0.75,0
2018-05-22,-0.0030989452386979144,0.0,1
2018-05-23,0.012955079160040128,1.0,0
2018-05-24,-0.0008253187456767619,0.5,0
2018-05-25,0.0034074652486280055,1.0,0
2018-05-29,-0.002060724782411316,0.25,1
2018-05-30,0.008153630062573275,0.75,0
2018-05-31,-0.0011807953114995051,0.25,1
2018-06-01,0.016652199754457142,1.0,0
2018-06-04,0.01490238650190695,1.0,0
2018-06-05,0.008081068783417078,1.0,0
2018-06-06,0.0015873496171225077,0.75,0
2018-06-07,-0.007669666918299428,0.0,1
2018-06-08,-0.0017911998554162867,0.25,1
2018-06-11,-0.0028603821456216483,0.25,1
2018-06-12,0.0053213640234036075,1.0,0
2018-06-13,-0.002461563624923696,0.25,1
2018-06-14,0.008627145741734954,1.0,0
2018-06-15,-0.008437691255490959,0.0,1
2018-06-18,0.002669265505646057,0.5,0
2018-06-19,-0.007085946384839226,0.25,1
2018-06-20,0.007855229889371262,1.0,0
2018-06-21,-0.010978603395345121,0.0,1
2018-06-22,-0.010624350337172905,0.0,1
2018-06-25,-0.028185375546254637,0.0,1
2018-06-26,0.012055164503393223,1.0,0
2018-06-27,-0.015250041835067452,0.0,1
2018-06-28,0.016227937836478246,1.0,0
2018-06-29,-0.004929003407478788,0.0,1
2018-07-02,0.014036357809297462,1.0,0
2018-07-03,-0.015218060247838422,0.0,1
2018-07-05,0.010872560335619008,1.0,0
2018-07-06,0.013314902248857785,1.0,0
2018-07-09,0.011266278159932253,1.0,0
2018-07-10,0.0049552978842574424,0.75,0
2018-07-11,-0.007522303536111524,0.25,1
2018-07-12,0.01927493325985452,1.0,0
2018-07-13,0.003750732363788589,0.75,0
2018-07-16,-0.0016004309772310876,0.25,1
2018-07-17,0.011656318446373437,1.0,0
2018-07-18,-0.005427635001835435,0.0,1
2018-07-19,-0.0035040408191600037,0.5,0
2018-07-20,0.0028745118084556875,0.5,0
2018-07-23,0.001133758019081027,0.5,0
2018-07-24,0.004173301549690145,0.5,0
2018-07-25,0.01759233165844737,1.0,0
2018-07-26,-0.008024221084584365,0.25,1
2018-07-27,-0.010066854062750596,0.25,1
2018-07-30,-0.01982506086236316,0.0,1
2018-07-31,0.0026821685862498668,0.75,0
2018-08-01,0.01961777547920629,1.0,1
2018-08-02,0.01972076713437715,1.0,1
2018-08-03,0.0017873122158569843,0.75,0
2018-08-06,0.00677412030267166,1.0,0
2018-08-07,0.00425696784698168,0.75,0
2018-08-08,0.0062267926457447165,1.0,0
2018-08-09,0.0020712724852113007,0.75,0
2018-08-10,-0.0055090865811757705,0.0,1
2018-08-13,0.002419369034565383,0.75,0
2018-08-14,0.012447130633196413,1.0,0
2018-08-15,-0.009875864345666896,0.25,1
2018-08-16,0.002551374850976923,0.5,0
2018-08-17,-0.007971955343134662,0.25,1
2018-08-20,-0.0017337439927319342,0.25,1
2018-08-21,0.0038522870623012295,0.5,0
2018-08-22,0.014785947339067795,1.0,0
2018-08-23,0.0052405083386558304,0.75,0
2018-08-24,0.008097309142080344,1.0,0
2018-08-27,0.011130425873117744,1.0,0
2018-08-28,0.0028136489579898283,0.75,0
2018-08-29,0.02005016430066975,1.0,1
2018-08-30,0.0020672424816599866,0.5,0
2018-08-31,0.007609533157529824,1.0,0
2018-09-04,0.005440612299921765,0.75,0
2018-09-05,-0.018968149459532957,0.0,1
2018-09-06,-0.013272059790965018,0.25,1
2018-09-07,-0.004820505697401778,0.0,1
2018-09-10,0.00031455555778314714,0.5,0
2018-09-11,0.015022405111067338,0.75,0
2018-09-12,-0.00590543648319089,0.5,0
2018-09-13,0.011634944388911439,0.75,0
2018-09-14,0.0003978676992358321,0.5,0
